GRMZM2G081406
GRMZM2G149446
GRMZM2G040121
AC208110.2_FG006
GRMZM2G085054
AC225193.3_FG003
GRMZM2G040890
GRMZM2G037472
AC203571.3_FG001
GRMZM2G029314
GRMZM2G033489
GRMZM2G404965
GRMZM2G024799
GRMZM2G058470
GRMZM2G459820
GRMZM2G070468
GRMZM2G029518
GRMZM2G006363
GRMZM2G063756
GRMZM2G067315
GRMZM2G001938
GRMZM5G831408
GRMZM2G025154
GRMZM2G144730
GRMZM2G138683
GRMZM2G172491
GRMZM2G117878
GRMZM2G021303
GRMZM2G060886
GRMZM2G164965
GRMZM2G167549
GRMZM2G118433
GRMZM2G085381
GRMZM2G327406
GRMZM2G416019
GRMZM2G464680
GRMZM5G809265
GRMZM2G089525
GRMZM2G472060
GRMZM2G119426
GRMZM2G170870
GRMZM2G085550
GRMZM2G589470
GRMZM2G002124
GRMZM2G126552
GRMZM2G084347
GRMZM5G899300
GRMZM2G060161
GRMZM2G581155
GRMZM2G180732
GRMZM2G072550
GRMZM2G140032
GRMZM2G042660
GRMZM5G825512
GRMZM5G804783
GRMZM2G138060
AC205574.3_FG006
GRMZM2G079949
GRMZM5G837872
GRMZM2G158885
GRMZM2G054032
GRMZM2G086949
GRMZM2G106552
GRMZM2G006234
GRMZM2G426415
GRMZM2G428020
GRMZM2G150683
GRMZM2G404126
GRMZM2G142816
GRMZM2G009045
GRMZM2G073197
GRMZM2G391042
GRMZM2G173615
GRMZM2G033027
GRMZM2G386209
GRMZM2G030762
