GRMZM2G138771
GRMZM2G132251
GRMZM2G129865
GRMZM2G037146
GRMZM2G410567
GRMZM2G108996
AC210003.2_FG004
GRMZM2G030710
GRMZM2G083195
GRMZM2G171248
GRMZM2G106344
GRMZM2G174776
GRMZM2G371176
GRMZM2G031120
GRMZM2G156004
GRMZM5G822180
GRMZM2G467007
GRMZM2G079185
GRMZM2G348238
GRMZM2G356714
GRMZM2G132794
GRMZM2G364208
GRMZM2G143187
GRMZM2G066860
GRMZM2G166524
GRMZM2G061403
GRMZM2G084046
GRMZM2G006505
GRMZM2G006721
GRMZM2G166857
AC212565.3_FG001
GRMZM2G083117
GRMZM2G006937
GRMZM2G425965
AC205574.3_FG006
GRMZM2G364643
GRMZM2G061515
GRMZM2G142063
GRMZM2G380319
GRMZM5G852801
GRMZM2G150594
GRMZM2G092776
GRMZM5G858249
GRMZM2G077612
GRMZM2G063533
GRMZM2G083574
GRMZM2G027333
GRMZM2G166297
GRMZM2G133781
GRMZM2G374827
GRMZM2G078500
GRMZM5G832381
GRMZM2G393529
GRMZM2G131205
GRMZM2G111146
GRMZM2G061202
GRMZM2G340257
GRMZM2G139160
GRMZM2G404965
GRMZM2G018462
GRMZM2G100121
GRMZM2G399495
GRMZM2G081214
GRMZM2G003306
GRMZM2G051689
GRMZM2G171818
GRMZM2G004511
GRMZM2G139193
GRMZM2G035023
GRMZM2G304712
GRMZM2G070468
GRMZM5G822449
AC233885.1_FG002
GRMZM2G075387
GRMZM2G050741
GRMZM2G398996
GRMZM5G837872
GRMZM2G034404
GRMZM2G024973
GRMZM2G028353
GRMZM2G313867
GRMZM2G157927
GRMZM2G119490
GRMZM2G056903
GRMZM2G046459
GRMZM2G045596
GRMZM2G142179
GRMZM2G178734
GRMZM5G811731
GRMZM2G174070
GRMZM2G027825
GRMZM2G036286
GRMZM2G066225
GRMZM2G158194
GRMZM2G476477
GRMZM2G085550
GRMZM5G874697
GRMZM2G131378
GRMZM2G089517
GRMZM2G075294
GRMZM2G088053
GRMZM2G414621
GRMZM2G103662
GRMZM2G113196
GRMZM2G124136
GRMZM2G434098
GRMZM5G800598
GRMZM2G067702
GRMZM2G336337
GRMZM2G111679
GRMZM2G152919
GRMZM2G079470
GRMZM5G881965
GRMZM2G426213
GRMZM2G180732
GRMZM2G405185
GRMZM2G130374
GRMZM2G033694
GRMZM2G066153
GRMZM2G019413
GRMZM5G804893
GRMZM2G004466
GRMZM2G452671
GRMZM2G039431
GRMZM2G351318
GRMZM2G038075
